query,event
Who should I invite to Literary Fest 2027?,Literary Fest 2026: Celebrating the Power of Words and Ideas
What is the date of the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Where is the 24-Hour Hackathon Challenge being held?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
What time does the 24-Hour Hackathon Challenge start?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
How do I move the Women in Tech Conference 2027 to a different date?,Women in Tech Conference 2026: Empowering Future Innovators
Can you remind me about the Women in Tech Conference 2027 at 10:00 AM on 23 January 2027?,Women in Tech Conference 2026: Empowering Future Innovators
Is there a conflict with my other appointments on 23 January 2027 at 10:00 AM?,Women in Tech Conference 2026: Empowering Future Innovators
What is the date and time of the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Where is the 24-Hour Hackathon Challenge being held?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Is there a limit on the number of participants in the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
"What time is the International Science Fair on May 6th, 2026?",International Science Fair: Exploring the Wonders of Innovation
"Can I send out invites for the International Science Fair on May 6th, 2026?",International Science Fair: Exploring the Wonders of Innovation
"Can I set a reminder for the International Science Fair on May 6th, 2026 at 10:00 AM?",International Science Fair: Exploring the Wonders of Innovation
"25 June 2026, 10:00 AM Mathematics Olympiad and Brain Teasers Championship at Cafeteria Open Stage - Set reminder",Mathematics Olympiad and Brain Teasers Championship
"25 June 2026, 10:00 AM Mathematics Olympiad and Brain Teasers Championship at Cafeteria Open Stage - Modify time",Mathematics Olympiad and Brain Teasers Championship
"25 June 2026, 10:00 AM Mathematics Olympiad and Brain Teasers Championship at Cafeteria Open Stage - Invite friends",Mathematics Olympiad and Brain Teasers Championship
What's the date and time of the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Where is the Grand Alumni Meet 2026 being held?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Is the Grand Alumni Meet 2026 open to all alumni?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
"19 September 2027, 10:00 AM, Conference Hall A",Robotics Workshop and Hands-on Training with AI Integration
Robotics Workshop and Hands-on Training with AI Integration,Robotics Workshop and Hands-on Training with AI Integration
What is the location of the Robotics Workshop and Hands-on Training with AI Integration?,Robotics Workshop and Hands-on Training with AI Integration
"18 November 2027, 10:00 AM, Seminar Hall B",National Level Technical Symposium on Emerging Technologies
What is the time of the National Level Technical Symposium on Emerging Technologies?,National Level Technical Symposium on Emerging Technologies
Where is the National Level Technical Symposium on Emerging Technologies being held?,National Level Technical Symposium on Emerging Technologies
What's the date and time of the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Where is the Grand Alumni Meet 2026 being held?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Can I RSVP for the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
What is the date of the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
Can I set a reminder for the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
How do I invite people to the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
"12 August 2026, 10:00 AM - Green Energy Summit 2026: Innovations in Sustainable Power - Innovation Lab",Green Energy Summit 2026: Innovations in Sustainable Power
Is there a Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
Where is the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
"10:00 AM, 20 January 2026, Library Conference Room - Startup Pitch Fest 2026: Turning Ideas into Reality",Startup Pitch Fest 2026: Turning Ideas into Reality
How do I send out invites for the Startup Pitch Fest 2026: Turning Ideas into Reality event?,Startup Pitch Fest 2026: Turning Ideas into Reality
Can you remind me of the date and time for the Startup Pitch Fest 2026: Turning Ideas into Reality event?,Startup Pitch Fest 2026: Turning Ideas into Reality
What is the date of Literary Fest 2026?,Literary Fest 2026: Celebrating the Power of Words and Ideas
Where is Literary Fest 2026 being held?,Literary Fest 2026: Celebrating the Power of Words and Ideas
What time does Literary Fest 2026 start?,Literary Fest 2026: Celebrating the Power of Words and Ideas
What is the date and time of the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Where is the 24-Hour Hackathon Challenge being held?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Can I modify the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
"21 December 2027, 10:00 AM Robotics Workshop and Hands-on Training with AI Integration - Online (Zoom/Teams)",Robotics Workshop and Hands-on Training with AI Integration
"Set a reminder for 21 December 2027, 10:00 AM for Robotics Workshop and Hands-on Training with AI Integration - Online (Zoom/Teams)",Robotics Workshop and Hands-on Training with AI Integration
What is the date and time of the Robotics Workshop and Hands-on Training with AI Integration - Online (Zoom/Teams) on 21 December 2027?,Robotics Workshop and Hands-on Training with AI Integration
Is there anything happening at the Research Block on 15 May 2026 at 10:00 AM?,Annual Music Night: A Symphony of Talent and Passion
Can you remind me about the Annual Music Night: A Symphony of Talent and Passion on 15 May 2026 at 10:00 AM?,Annual Music Night: A Symphony of Talent and Passion
Are there any other events happening on 15 May 2026 at 10:00 AM?,Annual Music Night: A Symphony of Talent and Passion
"How do I check if there's a career fair happening on June 9th, 2026?",Career Fair 2026: Your Gateway to Future Opportunities
"Can you remind me to attend the career fair on June 9th, 2026 at 10:00 AM?",Career Fair 2026: Your Gateway to Future Opportunities
"How do I add the career fair on June 9th, 2026 to my calendar?",Career Fair 2026: Your Gateway to Future Opportunities
"17 December 2026, 10:00 AM, Innovation Lab - 24-Hour Hackathon Challenge: Innovate, Code, and Create","24-Hour Hackathon Challenge: Innovate, Code, and Create"
What is the date and time of the 24-Hour Hackathon Challenge?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
Where is the 24-Hour Hackathon Challenge being held?,"24-Hour Hackathon Challenge: Innovate, Code, and Create"
"29 January 2027, 10:00 AM - Cafeteria Open Stage - 24-Hour Hackathon Challenge: Innovate, Code, and Create","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"29 January 2027, 10:00 AM - Cafeteria Open Stage - 24-Hour Hackathon Challenge: Innovate, Code, and Create - Invite","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"29 January 2027, 10:00 AM - Cafeteria Open Stage - 24-Hour Hackathon Challenge: Innovate, Code, and Create - Modify","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"23 July 2027, 10:00 AM - 24-Hour Hackathon Challenge: Innovate, Code, and Create - Research Block - Checking for scheduling conflicts","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"23 July 2027, 10:00 AM - 24-Hour Hackathon Challenge: Innovate, Code, and Create - Research Block - Modifying, moving, or cancelling the event","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"23 July 2027, 10:00 AM - 24-Hour Hackathon Challenge: Innovate, Code, and Create - Research Block - Recurring event management or queries","24-Hour Hackathon Challenge: Innovate, Code, and Create"
"Is the Green Energy Summit 2026 happening on April 16th, 2027 at 10:00 AM?",Green Energy Summit 2026: Innovations in Sustainable Power
What is the status of my RSVP for the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
"Can you remind me about the Green Energy Summit 2026 on April 16th, 2027 at 10:00 AM?",Green Energy Summit 2026: Innovations in Sustainable Power
"26 October 2026, 10:00 AM, Sports Complex - Invite","Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
What time is the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Where is the Grand Alumni Meet 2026 held?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
"10:00 AM on March 6th, 2026 at the Library Conference Room?",Literary Fest 2026: Celebrating the Power of Words and Ideas
"Is there anything happening at the Library Conference Room on March 6th, 2026?",Literary Fest 2026: Celebrating the Power of Words and Ideas
"What's happening at the Library Conference Room on March 6th, 2026?",Literary Fest 2026: Celebrating the Power of Words and Ideas
What is the date of the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
Is the Grand Alumni Meet 2026 happening at the Innovation Lab?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
What time is the Grand Alumni Meet 2026?,"Grand Alumni Meet 2026: Reconnect, Reminisce, and Rejoice"
"6 October 2026, 10:00 AM, National AI Seminar: Ethics, Challenges, and Future Trends, Main Auditorium, RSVP status?","National AI Seminar: Ethics, Challenges, and Future Trends"
"How do I set a reminder for the National AI Seminar: Ethics, Challenges, and Future Trends on 6 October 2026, 10:00 AM at the Main Auditorium?","National AI Seminar: Ethics, Challenges, and Future Trends"
"Can I manage the recurring event for the National AI Seminar: Ethics, Challenges, and Future Trends every year on 6 October at the Main Auditorium?","National AI Seminar: Ethics, Challenges, and Future Trends"
"1. Is Green Energy Summit 2026 on September 7th, 2027?",Green Energy Summit 2026: Innovations in Sustainable Power
2. What time is Green Energy Summit 2026 starting?,Green Energy Summit 2026: Innovations in Sustainable Power
3. Where is Green Energy Summit 2026 being held?,Green Energy Summit 2026: Innovations in Sustainable Power
How do I send out invites for the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
Can I modify the date and time of the Green Energy Summit 2026?,Green Energy Summit 2026: Innovations in Sustainable Power
